ID;p80;tms;Acid_ton;Salmu_ton;Sal_ton;Menos100;Mas19mm;Humedad_BS;tms_cdato;P80_PP;Acid_kgpt;Salmu_kgpt;Sal_kgpt;tms_cdato100;Menos100_cdato100;Mas19mm_cdato100;Humedad_BS_cdato100
1045202;15.11634874;47738.71995;955.154016;451;49.5;14.49495444;8.229646321;7.588689806;47738.71995;721.6351393;20.00795197;9.447257918;1.036894162;47738.71995;6.919705708;3.92872781;3.622743374
1045203;16.08045769;53016.74256;1185.012756;568;286.5;15.13500533;3.290988753;5.461673651;53016.74256;852.5334855;22.35167041;10.71359673;5.403953283;53016.74256;8.024086815;1.744775035;2.895601459
1045204;15.3500185;52711.48861;1144.494325;0;832;13.51220985;10.19567492;4.10520962;52711.48861;809.1223254;21.71242655;0;15.78403536;52711.48861;7.122486957;5.374292023;2.163917101
1045205;15.76460171;55558.94248;1178.986084;458;535;12.91899173;7.173369251;6.837486837;55558.94248;875.8645995;21.22045581;8.243497438;9.629412947;55558.94248;7.177655182;3.985448096;3.798835379
1045206;14.69847441;60021.42899;1289.909922;686;148;16.34940231;7.917439806;5.89624382;60021.42899;882.2234379;21.49082326;11.42925138;2.465786012;60021.42899;9.813144898;4.752160511;3.539009797
1045207;15.12747002;46406.23301;897.514778;350;372;14.32652422;13.74735853;6.375368214;46406.23301;702.0088985;19.34039287;7.542090303;8.016164551;46406.23301;6.648400213;6.379631235;2.958568229
1045208;13.98768711;58322.51764;1263.745346;336;685.6;17.04952267;16.61055234;6.543067378;58322.51764;815.7971283;21.66822348;5.76106817;11.75532243;58322.51764;9.943710869;9.687692316;3.816081626
1045209;14.27250576;47569.98811;1041.199458;480;251;25.45247042;18.55101799;6.221198157;47569.98811;678.9429293;21.88773845;10.09039563;5.276436047;47569.98811;12.10773715;8.824717052;2.959423223
1045210;14.02367353;56694.90172;1138.067186;302.1875;531.6;20.27683549;1.309534031;7.032286599;56694.90172;795.0707928;20.07353662;5.3300648;9.37650448;56694.90172;11.49593196;0.742439032;3.986947976
1045211;10.6467824;27546.73184;403.199056;81;228.7;26.80108706;4.493108263;8.291942605;27546.73184;293.2840597;14.63691077;2.940457709;8.302255284;27546.73184;7.382823583;1.237704485;2.284159194
1045212;14.72080994;30935.01802;642.44691;462.3;78.3;23.8575544;5.473964637;4.558071585;30935.01802;455.3885206;20.76762683;14.94422921;2.531112151;30935.01802;7.380338752;1.693371947;1.410040266
1045213;14.53199816;64265.54356;1322.964748;724;142.7;19.26039584;15.12336873;6.494165398;64265.54356;933.9067606;20.58591081;11.26575704;2.220474489;64265.54356;12.37779808;9.719115117;4.173510693
1045214;14.69748402;60436.36503;1210.534242;683;61.5;17.36474183;17.56673742;7.689467368;60436.36503;888.262509;20.02989825;11.30114294;1.017599255;60436.36503;10.49461876;10.61669755;4.647234568
1045215;15.48014355;60042.94189;1127.814494;426;297;17.24755416;8.534241789;7.038123167;60042.94189;929.4733595;18.78346494;7.094922177;4.946459827;60042.94189;10.35593892;5.124209838;4.225896204
1045216;7.752680302;0;44.0976;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1045217;9.523554325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
