compid;dhid;midx;midy;midz;topx;topy;topz;botx;boty;botz;sample;from;to;length;tcu_sond;ascu_sond;cnscu_sond;rescu_sond;rs_sond;ri_sond;lito;alte;mine;ZMIN_BT;ugm_acido;ugm_extrac_cu;fase_cb23_v07;year_cb2023_v07;tcu_cab;ascu_cab;cnscu_cab;rescu_cab;rs_cab;ri_cab;cusfe%_cab;S%_cab;fes%cab;als%cab;mns%cab;mgs%cab;cas%cab;fet%_cab;ext_cu_anal_bt;ext_cu_calc_bt;ext_cu_cabrip_bt;ext_cu_cabsol_bt;ext_cu_ripsol_bt;can_bt;cab_bt;conc_cu_g/l;conc_fe_g/l;conc_Mn_mg/l;conc_Mn_g/l;conc_Mg_mg/l;conc_Mg_g/l;conc_Al_mg/l;conc_Al_g/l;conc_Ca_mg/l;conc_Ca_g/l;conc_Cl_mg/l;conc_Cl_g/l;conc_SO4_g/l;Eh mV;conc_fe+2_g/l;conc_fe+3_g/l;tcu_rip;ascu_rip;cnscu_rip;rescu_rip;rs_rip;ri_rip;cusfe%_rip;S%_rip;fes%rip;als%rip;mns%rip;mgs%rip;cas%rip;fet%_rip
CR;ZR-2008;94021.851;22324.214;3132.557;94021.827;22324.24;3136.557;94021.875;22324.189;3128.557;GMCOMP02-618;68;76;8;0.492;0.033;0.385;;0.85;;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.496;0.062;0.336;0.047;0.802;0.095;;1.01;0.164;0.049;0.003;0.013;;1.13;;;74.8;77;75.4;0.9;6.7;3.0888;3.6;20.3;0.02032;;0.16532;;0.174;;0.338;52381;52.38;19.325;732;0.83;2.761;0.126;0.019;0.073;0.025;0.73;0.2;;0.98;0.16;0.043;0.0005;0.007;;0.99
CR;ZR-2014;94171.125;22322.621;3137.617;94171.067;22322.682;3141.616;94171.182;22322.56;3133.617;GMCOMP02-619;56;64;8;1.04;0.18;0.84;;0.981;;ZPY;QSE;SSE;SSE;2;2;-99;-99;1.094;0.261;0.704;0.014;0.882;0.013;;4.28;0.134;0.064;0.002;0.003;;3.85;;;96.9;99.7;96.9;-3.8;13;5.5374;3.6;20.3;0.02029;;0.13976;;0.224;;0.3508;53623;53.62;21.753;730;0.73;2.914;0.035;0.007;0.016;0.009;0.66;0.26;;4.42;0.453;0.132;0.002;0.014;;3.85
CR;ZR-2088;93804.903;22545.087;3186.172;93806.115;22546.212;3189.814;93803.693;22543.962;3182.529;GMCOMP02-620;234;242;8;1.027;0.201;0.803;;0.978;;PRG;ARG;SSE;SSE;2;2;-99;-99;1.071;0.196;0.887;0.01;1.011;0.009;;2.56;0.109;0.205;0.0005;0.012;;2.29;;;83.7;88.7;84.5;4.5;19.1;5.5362;3.4;14.6;0.01458;;0.16425;;0.601;;0.4697;51068;51.07;3.313;721;0.92;2.473;0.173;0.151;0.013;0.005;0.95;0.03;;2.7;0.112;0.152;0.0005;0.007;;2.37
CR;ZR-1508;92267.325;21708.829;2923.441;92268.075;21707.747;2927.218;92266.576;21709.912;2919.664;GMCOMP02-621;194;202;8;0.492;0.063;0.335;;0.809;;AND;BIO;SSE;SSE;1;1;9;2026;0.496;0.12;0.268;0.087;0.782;0.175;;0.76;0.247;0.17;0.007;0.085;;3.28;;;76.2;77.7;76.6;13.3;19.2;3.1353;3.9;36.5;0.03647;;0.54954;;0.582;;1.0098;49615;49.62;4.425;721;0.87;3.027;0.119;0.05;0.022;0.039;0.61;0.33;;0.67;0.283;0.15;0.004;0.07;;3.27
CR;ZR-1639;92686.115;21709.929;2884.651;92686.003;21710.06;2888.647;92686.227;21709.798;2880.654;GMCOMP02-622;146;154;8;0.55;0.037;0.212;;0.453;;AND;BIO;MSP;MSP;1;4;9E;2025;0.677;0.052;0.243;0.33;0.436;0.487;;0.88;0.274;0.114;0.008;0.048;;2.88;;;57.8;63.9;60.3;12.5;19.2;3.0077;4;46.2;0.04623;;0.44511;;0.433;;0.8404;45712;45.71;4.631;727;0.81;3.189;0.289;0.023;0.03;0.204;0.18;0.71;;0.93;0.304;0.077;0.003;0.032;;2.39
CR;ZR-1736;92746.396;21581.029;2877.683;92746.968;21580.395;2881.591;92745.824;21581.663;2873.775;GMCOMP02-623;64;72;8;1.073;0.055;0.388;;0.413;;BXP;QSE;MSP;MSP;3;4;9E;2027;1.396;0.067;0.491;0.72;0.4;0.516;;1.16;0.243;0.063;0.004;0.031;;2.55;;;55.3;60;57.3;9.4;22.3;4.2861;3.9;27;0.02695;;0.40642;;0.261;;0.6776;48745;48.74;18.46;727;0.81;3.083;0.628;0.017;0.078;0.443;0.15;0.71;;1.24;0.467;0.072;0.002;0.035;;2.37
CR;ZR-1737;92637.617;21615.737;2887.214;92637.393;21616.334;2891.163;92637.833;21615.168;2883.261;GMCOMP02-624;54;62;8;0.427;0.07;0.225;;0.691;;AND;QSE;SSE;SSE;3;1;9E;2025;0.43;0.124;0.172;0.122;0.688;0.284;;1.57;0.234;0.163;0.008;0.099;;4.17;;;74.7;71.6;73.9;15.9;20.6;2.6138;3.7;45.3;0.04534;;0.578675;;0.509;;0.8972;52016;52.02;21.794;712;1.12;2.566;0.111;0.011;0.014;0.075;0.23;0.68;;1.52;0.157;0.076;0.004;0.047;;4.14
CR;ZR-1744;92285.271;21614.762;2885.694;92284.37;21615.61;2889.497;92286.172;21613.914;2881.89;GMCOMP02-625;256;264;8;0.43;0.083;0.203;;0.665;;AND;CLO;SSE;SSE;1;1;9;2026;0.446;0.136;0.16;0.119;0.664;0.267;;2.46;0.128;0.081;0.003;0.048;;4.92;;;67.2;65.1;66.5;19.5;23.9;2.50643;3.8;34.9;0.034883;610.8;0.61077;630;0.63;1058.115;1.0581;50472;50.47;14.262;722;0.78;3.03;0.15;0.033;0.014;0.094;0.31;0.63;;2.37;0.194;0.154;0.005;0.078;;5.46
CR;ZR-1746;92199.823;21702.244;2895.169;92199.915;21702.238;2899.167;92199.731;21702.25;2891.17;GMCOMP02-626;224;232;8;0.575;0.03;0.15;;0.313;;AND;QSE;PRI;PRI;5;5;9;2026;0.627;0.045;0.11;0.429;0.247;0.684;;1.18;0.252;0.153;0.006;0.097;;3.68;;;44.1;44.2;44.2;15.7;20;2.4933;3.8;34.5;0.03446;;0.552995;;0.467;;0.9642;51763;51.76;21.403;711;1.15;2.621;0.355;0.053;0.015;0.25;0.19;0.7;;1.13;0.229;0.091;0.004;0.053;;3.46
CR;ZR-1943;92228.322;21748.605;2909.424;92229.308;21747.352;2913.093;92227.335;21749.859;2905.756;GMCOMP02-627;100;108;8;0.855;0.165;0.51;;0.789;;LPF;QSE;SSE;SSE;3;1;9;2026;0.786;0.123;0.564;0.082;0.874;0.104;;0.74;0.238;0.091;0.019;0.058;;2.37;;;90.4;93.5;90.7;8.089;19.4;3.8381;3.4;77.6;0.0776;;0.40857;;0.266;;0.9511;52521;52.52;22.041;716;1.08;2.354;0.077;0.022;0.019;0.043;0.53;0.56;;0.66;0.179;0.049;0.002;0.018;;2.02
CR;ZR-1323;92717.573;21621.678;2863.396;92717.588;21621.483;2867.391;92717.558;21621.873;2859.401;GMCOMP02-628;198;206;8;0.385;0.045;0.115;;0.416;;LPF;POT;MSP;MSP;1;4;9;2028;0.438;0.035;0.169;0.184;0.466;0.42;;1.21;0.347;0.113;0.005;0.072;;3.66;;;55.6;52.6;54.2;12.7;16.3;2.3041;3.8;31.3;0.03132;;0.552215;;0.41;;0.7966;54199;54.2;15.044;715;1.12;2.683;0.198;0.046;0.026;0.11;0.36;0.56;;1.09;0.304;0.072;0.003;0.04;;2.98
CR;ZR-2227;93395.573;22650.734;3225.549;93397.181;22652.075;3228.957;93393.965;22649.393;3222.14;GMCOMP02-629;126;134;8;1.519;0.507;0.932;0.056;0.947;0.037;AND;QSE;SSE;SSE;3;1;-99;-99;0.969;0.207;0.738;0.028;0.975;0.029;;3.23;0.082;0.18;0.0005;0.015;;3.69;;;90.5;83;89.8;5.981;18.361;4.6447;3.4;14.9;0.01485;;0.181205;;0.208;;0.9277;51461;51.46;21.918;720;0.99;2.457;0.093;0.072;0.013;0.027;0.91;0.29;;3.22;0.104;0.086;0.0005;0.007;;3.71
CR;ZR-2227;93387.497;22644.212;3208.454;93389.119;22645.48;3211.883;93385.874;22642.944;3205.025;GMCOMP02-630;146;154;8;0.762;0.098;0.632;0.013;0.958;0.017;AND;QSE;SSE;SSE;3;1;-99;-99;0.757;0.135;0.621;0.008;0.999;0.011;;1.49;0.137;0.164;0.0005;0.012;;1.88;;;92;93.8;92.2;7.4;18.3;3.9161;3.4;14.6;0.01457;;0.173085;;0.369;;0.5306;51560;51.56;21.897;719;1.01;2.394;0.061;0.049;0.005;0.007;0.89;0.11;;1.5;0.086;0.13;0.0005;0.005;;1.51
CR;ZR-2026;94060.92;22608.07;3165.475;94061.621;22607.374;3169.351;94060.219;22608.766;3161.598;GMCOMP02-631;154;162;8;0.885;0.098;0.725;;0.93;;ZPY;QSE;SSE;SSE;2;2;-99;-99;1.196;0.277;0.881;0.02;0.968;0.017;;2.9;0.137;0.087;0.002;0.005;;2.19;;;95.4;94.4;95.4;-15.3;2.1;5.1746;3.3;18.7;0.01874;;0.156765;;0.206;;0.5557;51433;51.43;26.157;715;0.97;2.281;0.056;0.007;0.027;0.024;0.61;0.43;;2.87;0.129;0.041;0.001;0.004;;1.98
CR;ZR-2228;93441.89;22620.465;3213.621;93443.419;22622.436;3216.747;93440.35;22618.477;3210.51;GMCOMP02-632;150;158;8;0.578;0.18;0.377;0.013;0.964;0.022;AND;ARG;SSE;CUO;3;1;-99;-99;0.585;0.221;0.34;0.01;0.959;0.017;;3.16;0.078;0.14;0.001;0.037;;3.2;;;94.1;85.9;93.5;10.1;17.9;3.3354;3.3;17.2;0.01724;;0.36549;;0.451;;1.0607;50907;50.91;23.091;719;0.98;2.314;0.035;0.064;0.008;0.01;2.06;0.29;;3.04;0.126;0.149;0.001;0.02;;3.22
CR;ZR-2108;93865.517;22543.253;3176.865;93865.931;22544.698;3180.572;93865.098;22541.836;3173.148;GMCOMP02-633;242;250;8;0.612;0.117;0.475;0.013;0.967;0.021;LPF;QSE;SSE;SSE;3;1;-99;-99;0.632;0.108;0.517;0.009;0.989;0.014;;1.16;0.129;0.148;0.002;0.008;;1.16;;;90.6;92.3;90.7;7.1;16;3.5024;3.1;14.9;0.01492;;0.15486;;0.499;;0.5303;50795;50.79;21.527;717;1;2.11;0.06;0.037;0.004;0.008;0.68;0.13;;1.18;0.102;0.101;0.001;0.006;;1.03
CR;ZR-2108;93860.734;22527.102;3131.922;93861.141;22528.38;3135.691;93860.312;22525.85;3128.147;GMCOMP02-634;290;298;8;1.802;0.296;1.439;0.039;0.963;0.022;LPF;QSE;SSE;SSE;3;1;-99;-99;1.778;0.315;1.528;0.01;1.037;0.006;;1.85;0.076;0.201;0.0005;0.013;;1;;;84.2;84;84.2;-0.5;22.5;6.812;3.1;13.9;0.01388;;0.17625;;0.224;;0.6518;52683;52.68;21.835;704;1.34;1.726;0.284;0.231;0.065;0.012;1.04;0.04;;1.88;0.088;0.109;0.0005;0.007;;0.97
CR;ZR-2244;93846.38;22476.352;3182.079;93847.307;22478.111;3185.55;93845.453;22474.598;3178.605;GMCOMP02-635;178;186;8;1.081;0.109;0.937;0.014;0.968;0.013;BXC;QSE;SSE;SSE;3;2;-99;-99;1.183;0.204;0.955;0.015;0.98;0.013;;1.75;0.121;0.083;0.002;0.009;;1.65;;;96.7;98.7;96.8;-2.6;15.4;5.399;3.2;16.8;0.0168;155.3;0.1553;206;0.206;398.8;0.3988;52830;52.83;13.068;722;1.07;2.163;0.04;0.029;0.009;0.013;0.95;0.33;;1.75;0.043;0.03;0.0005;0.004;;1.51
