compid;dhid;midx;midy;midz;topx;topy;topz;botx;boty;botz;sample;from;to;length;tcu_sond;ascu_sond;cnscu_sond;rescu_sond;rs_sond;ri_sond;lito;alte;mine;ZMIN_BT;ugm_acido;ugm_extrac_cu;fase_cb23_v07;year_cb2023_v07;tcu_cab;ascu_cab;cnscu_cab;rescu_cab;rs_cab;ri_cab;cusfe%_cab;S%_cab;fes%cab;als%cab;mns%cab;mgs%cab;cas%cab;fet%_cab;ext_cu_anal_bt;ext_cu_calc_bt;ext_cu_cabrip_bt;ext_cu_cabsol_bt;ext_cu_ripsol_bt;can_bt;cab_bt;conc_cu_g/l;conc_fe_g/l;conc_Mn_mg/l;conc_Mn_g/l;conc_Mg_mg/l;conc_Mg_g/l;conc_Al_mg/l;conc_Al_g/l;conc_Ca_mg/l;conc_Ca_g/l;conc_Cl_mg/l;conc_Cl_g/l;conc_SO4_g/l;Eh mV;conc_fe+2_g/l;conc_fe+3_g/l;tcu_rip;ascu_rip;cnscu_rip;rescu_rip;rs_rip;ri_rip;cusfe%_rip;S%_rip;fes%rip;als%rip;mns%rip;mgs%rip;cas%rip;fet%_rip
CR;ZR-865;93200.073;22341.163;3062.405;93200.267;22342.384;3066.21;93199.88;22339.942;3058.601;GMCOMP02-1254;230;238;8;0.61;0.1;;;;;AND;CLO;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2432;92255.055;21649.975;2938.201;92255.126;21650.02;2943.2;92254.963;21649.921;2933.202;GMCOMP02-1225;2;12;10;0.4596;0.3138;0.079;0.059;0.855;0.128;AND;BIO;CUO;;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2432;92254.165;21649.511;2903.216;92254.277;21649.574;2907.214;92254.054;21649.447;2899.218;GMCOMP02-1226;38;46;8;0.30475;0.04025;0.1035;0.15675;0.472;0.514;AND;BIO;MSP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2432;92253.413;21649.028;2875.23;92253.519;21649.098;2879.228;92253.307;21648.958;2871.232;GMCOMP02-1227;66;74;8;0.64425;0.39425;0.0475;0.19575;0.686;0.304;AND;BIO;CUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2428;92235.136;21697.101;2938.777;92235.285;21697.055;2943.775;92234.996;21697.153;2933.78;GMCOMP02-1228;2;12;10;0.4544;0.2624;0.0222;0.1644;0.626;0.362;AND;QSE;CUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2428;92234.354;21697.477;2907.79;92234.451;21697.421;2911.788;92234.256;21697.534;2903.791;GMCOMP02-1229;34;42;8;0.54225;0.248;0.134;0.15125;0.704;0.279;AND;QSE;CUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2428;92233.879;21697.761;2888.798;92234.006;21697.685;2893.796;92233.752;21697.834;2883.8;GMCOMP02-1230;52;62;10;0.3014;0.058;0.1228;0.1176;0.6;0.39;AND;BIO;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2486;93571.255;22258.753;3099.19;93570.669;22261.137;3103.546;93571.837;22256.376;3094.83;GMCOMP02-1231;60;70;10;1.1118;0.2364;0.8398;0.0202;0.968;0.018;AND;CLO;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2443;93517.264;22309.377;3063.62;93519.367;22308.634;3068.095;93515.161;22310.119;3059.145;GMCOMP02-1256;98;108;10;0.3548;0.0516;0.184;0.107;0.664;0.302;AND;BIO;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2452;93741.393;22324.002;3090.257;93741.052;22325.447;3094.927;93741.747;22322.498;3085.397;GMCOMP02-1257;62;72;10;0.9382;0.1406;0.7748;0.009;0.976;0.01;ZPY;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2452;93742.09;22321.021;3080.633;93741.747;22322.498;3085.397;93742.427;22319.541;3075.869;GMCOMP02-1258;72;82;10;0.9586;0.0918;0.838;0.0108;0.97;0.011;ZPY;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2452;93742.756;22318.058;3071.105;93742.427;22319.541;3075.869;93743.072;22316.569;3066.342;GMCOMP02-1259;82;92;10;0.9676;0.1238;0.7834;0.0446;0.938;0.046;ZPY;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2452;93743.381;22315.077;3061.58;93743.072;22316.569;3066.342;93743.677;22313.58;3056.819;GMCOMP02-1260;92;102;10;0.3246;0.0528;0.2142;0.0484;0.823;0.149;PRG;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2452;93743.914;22312.383;3053.009;93743.677;22313.58;3056.819;93744.151;22311.185;3049.2;GMCOMP02-1261;102;110;8;0.47225;0.06875;0.29;0.0925;0.76;0.196;PRG;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2458;92601.865;21438.855;2889.311;92603.872;21438.743;2893.89;92599.853;21438.969;2884.735;GMCOMP02-1262;8;18;10;0.9866;0.456;0.0916;0.4122;0.555;0.418;LPF;QSE;CUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2458;92591.777;21439.435;2866.445;92593.393;21439.339;2870.102;92590.16;21439.531;2862.787;GMCOMP02-1263;34;42;8;0.6935;0.58025;0.0245;0.06375;0.872;0.092;LPF;QSE;CUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2458;92585.716;21439.804;2852.729;92587.736;21439.679;2857.301;92583.695;21439.935;2848.157;GMCOMP02-1264;48;58;10;0.4814;0.2822;0.1132;0.0724;0.821;0.15;AND;BIO;CUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2458;92575.213;21440.536;2828.956;92577.23;21440.39;2833.528;92573.197;21440.682;2824.383;GMCOMP02-1265;74;84;10;0.6518;0.2682;0.2636;0.1148;0.816;0.176;BXB;BIO;CUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2458;92567.971;21441.021;2812.484;92569.979;21440.895;2817.061;92565.967;21441.138;2807.904;GMCOMP02-1266;92;102;10;0.442;0.0418;0.1026;0.2918;0.327;0.66;BXB;CLO;MSP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2481;93914.563;22324.988;3097.231;93916.024;22326.278;3100.724;93913.103;22323.7;3093.737;GMCOMP02-1267;62;70;8;0.7215;0.1255;0.5045;0.0725;0.873;0.1;ZPY;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZD-2547;92597.254;21978.701;3031.921;92597.231;21978.691;3036.921;92597.278;21978.713;3026.921;GMCOMP02-1268;28;38;10;0.3394;0.0744;0.1832;0.079;0.759;0.233;AND;BIO;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2506;93788.479;22339.36;3041.911;93789.245;22339.296;3044.811;93787.714;22339.424;3039.011;GMCOMP02-1269;96;102;6;0.447;0.038666667;0.264333333;0.143333333;0.678;0.321;ZPY;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2506;93784.362;22339.69;3026.454;93785.138;22339.63;3029.351;93783.575;22339.749;3023.559;GMCOMP02-1270;112;118;6;0.561333333;0.078333333;0.448333333;0.028333333;0.938;0.05;ZPY;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2527;93841.151;22293.939;3080.003;93841.18;22293.978;3083.002;93841.109;22293.89;3077.003;GMCOMP02-1286;42;48;6;0.448333333;0.016333333;0.098666667;0.326333333;0.257;0.728;ZPY;QSE;MSP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2527;93840.677;22293.399;3049.011;93840.744;22293.475;3053.01;93840.605;22293.315;3045.013;GMCOMP02-1287;72;80;8;0.862;0.162;0.66775;0.01425;0.963;0.017;ZPY;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2531;93929.185;22236.592;3058.803;93928.889;22238.655;3062.217;93929.48;22234.53;3055.388;GMCOMP02-1271;74;82;8;0.78225;0.027;0.26175;0.47525;0.369;0.608;ZPY;QSE;MSP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2524;93895.017;22238.091;3036.076;93894.731;22240.15;3039.493;93895.304;22236.051;3032.647;GMCOMP02-1272;102;110;8;0.30025;0.0125;0.06875;0.20575;0.271;0.685;ZPY;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2538;93384.055;22143.669;2991.524;93383.962;22143.758;2995.522;93384.146;22143.577;2987.526;GMCOMP02-1273;84;92;8;0.35825;0.0445;0.209;0.1;0.708;0.279;AND;CLO;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2545;93449.045;22124.208;3026.273;93448.515;22125.239;3030.101;93449.575;22123.189;3022.441;GMCOMP02-1274;52;60;8;0.5165;0.03025;0.2355;0.24525;0.515;0.475;AND;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2545;93456.507;22109.39;2968.614;93456.051;22110.355;2972.469;93456.953;22108.431;2964.757;GMCOMP02-1275;112;120;8;0.3535;0.0455;0.11325;0.1925;0.449;0.545;AND;QSE;MSP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2553;93368.243;22024.232;2978.148;93368.546;22024.689;2981.098;93367.94;22023.775;2975.199;GMCOMP02-1276;88;94;6;0.670333333;0.095666667;0.412;0.150666667;0.757;0.225;AND;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2549;93408.64;22017.641;2999.84;93408.489;22016.477;3003.664;93408.774;22018.814;2996.018;GMCOMP02-1277;62;70;8;0.5095;0.04475;0.19625;0.24975;0.473;0.49;AND;QSE;MSP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2564;93453.522;22007.589;2959.444;93453.306;22006.334;2963.236;93453.742;22008.873;2955.662;GMCOMP02-1278;100;108;8;0.86925;0.08325;0.32975;0.439;0.475;0.505;AND;QSE;MSP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2564;93454.751;22014.799;2938.696;93454.526;22013.462;2942.459;93454.974;22016.157;2934.94;GMCOMP02-1279;122;130;8;0.533;0.0575;0.2755;0.18725;0.625;0.351;AND;CLO;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2568;93444.602;21974.603;3039.548;93444.94;21975.545;3043.421;93444.264;21973.661;3035.676;GMCOMP02-1280;16;24;8;0.44075;0.11875;0.1765;0.134;0.67;0.304;AND;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2568;93442.606;21969.219;3017.277;93442.87;21969.923;3020.181;93442.34;21968.513;3014.373;GMCOMP02-1281;40;46;6;0.642;0.064333333;0.220333333;0.337;0.443;0.525;AND;QSE;MSP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2568;93441.166;21965.435;3001.797;93441.445;21966.149;3004.698;93440.887;21964.721;2998.897;GMCOMP02-1282;56;62;6;0.493333333;0.078;0.239333333;0.156;0.643;0.316;AND;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2568;93438.51;21958.969;2975.718;93438.925;21959.93;2979.579;93438.075;21958.007;2971.86;GMCOMP02-1283;82;90;8;0.4445;0.05525;0.18925;0.189;0.55;0.425;LPF;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2568;93435.046;21951.738;2946.81;93435.534;21952.709;2950.659;93434.541;21950.762;2942.964;GMCOMP02-1284;112;120;8;0.52025;0.05875;0.313;0.1355;0.715;0.26;AND;QSE;SSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2548;93398.561;21985.559;3004.942;93398.849;21986.981;3008.669;93398.271;21984.139;3001.213;GMCOMP02-1285;58;66;8;0.4365;0.0645;0.14775;0.212;0.486;0.486;PRG;QSE;MSP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2574;92046.274;21837.227;2929.122;92047.192;21836.898;2931.958;92045.361;21837.556;2926.283;GMCOMP02-1288;14;20;6;0.392666667;0.216333333;0.05;0.115;0.678;0.293;CUO;QSE;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2577;92059.536;21832.597;2926.151;92058.321;21833.078;2929.932;92060.75;21832.116;2922.371;GMCOMP02-1289;16;24;8;0.4075;0.123;0.2315;0.04375;0.87;0.107;SSE;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2572;92143.885;21790.964;2923.459;92142.458;21789.338;2926.824;92145.279;21792.616;2920.094;GMCOMP02-1290;22;30;8;0.3615;0.1325;0.08;0.14125;0.588;0.391;CUO;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2569;92123.273;21767.873;2921.363;92124.558;21769.376;2924.84;92121.986;21766.376;2917.884;GMCOMP02-1291;24;32;8;0.43325;0.241;0.06375;0.121;0.703;0.279;CUO;QSE;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2561;92360.111;21687.99;2900.1;92361.653;21689.33;2903.539;92358.57;21686.646;2896.662;GMCOMP02-1292;48;56;8;0.482;0.076;0.31025;0.09;0.801;0.187;SSE;QSE;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2490;92306.751;21581.6;2902.445;92306.051;21581.765;2906.379;92307.431;21581.439;2898.506;GMCOMP02-1293;40;48;8;0.3605;0.25725;0.00875;0.086;0.738;0.239;CUO;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2567;92265.963;21546.185;2917.512;92266.104;21544.897;2920.218;92265.823;21547.472;2914.806;GMCOMP02-1294;28;34;6;0.351;0.178666667;0.007333333;0.151;0.53;0.43;CUO;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2567;92263.807;21563.058;2882.418;92264.031;21561.301;2886.004;92263.582;21564.815;2878.831;GMCOMP02-1295;66;74;8;0.35825;0.179;0.0125;0.15275;0.535;0.426;CUO;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2567;92263.153;21568.367;2871.676;92263.366;21566.588;2875.252;92262.946;21570.153;2868.103;GMCOMP02-1296;78;86;8;0.3085;0.0745;0.17075;0.056;0.795;0.182;SSE;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2586;91955.666;21555.172;2952.833;91953.944;21553.94;2956.226;91957.414;21556.402;2949.452;GMCOMP02-1297;4;12;8;0.5575;0.10075;0.2425;0.2035;0.616;0.365;SSE;QSE;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2587;92004.278;21528.807;2946.307;92002.888;21527.821;2948.776;92005.666;21529.79;2943.836;GMCOMP02-1298;14;20;6;0.348;0.043666667;0.090666667;0.211666667;0.386;0.608;MSP;CLO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2590;91991.583;21519.617;2954.531;91992.955;21520.672;2956.981;91990.212;21518.551;2952.085;GMCOMP02-1299;4;10;6;0.517666667;0.172666667;0.210666667;0.125;0.741;0.241;CUO;QSE;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2566;92266.787;21530.972;2926.216;92266.825;21532.018;2930.076;92266.749;21529.926;2922.355;GMCOMP02-1300;16;24;8;0.36675;0.14725;0.01425;0.18975;0.44;0.517;LXX;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2566;92265.881;21522.635;2895.337;92266.074;21523.674;2899.195;92265.682;21521.594;2891.48;GMCOMP02-1301;48;56;8;0.37725;0.2265;0.01;0.12675;0.627;0.336;CUO;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2579;92790.011;21528.566;2922.507;92792.025;21529.972;2925.664;92788.001;21527.158;2919.348;GMCOMP02-1302;24;32;8;0.3885;0.04975;0.15525;0.1785;0.528;0.459;MSP;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2578;92782.96;21477.229;2912.565;92784.492;21478.411;2916.066;92781.434;21476.048;2909.061;GMCOMP02-1303;34;42;8;0.40525;0.06975;0.2285;0.099;0.736;0.244;MSP;CLO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2595;92157.005;21458.26;2950.017;92156.84;21460.532;2953.304;92157.164;21455.968;2946.742;GMCOMP02-1304;8;16;8;0.35525;0.22825;0.00825;0.10625;0.666;0.299;CUO;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;ZR-2580;92887.378;21280.774;2961.432;92888.719;21281.775;2963.922;92886.03;21279.773;2958.945;GMCOMP02-1305;14;20;6;0.322333333;0.158333333;0.091;0.063666667;0.774;0.198;CUO;BIO;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;8315599019;93572.9;22352.2;3162.5;93572.9;22352.2;3170;93572.9;22352.2;3155;GM000967;0;15;15;0.659;0.145;0.466;0.031;0.927;0.047;AND;QSE;SSE;SSE;3;1;-99;-99;0.658;0.086;0.541;0.029;0.953;0.044;;0.78;0.107;0.073;0.002;0.013;;1.21;;;94.4;89.9;89.4;13.8;23.4;3.901;3.76;;0.023;;0.331;;0.303;;0.4357;;55.98;22.144;727;0.89;2.873;0.07;0.041;0.01;0.02;0.73;0.29;;0.92;0.176;0.08;0.005;0.039;;1.44
CR;8315599020;93644.3;22382;3162.5;93644.3;22382;3170;93644.3;22382;3155;GM000968;0;15;15;0.778;0.113;0.622;0.025;0.945;0.032;PRG;QSE;SSE;SSE;2;2;-99;-99;0.808;0.051;0.755;0.024;0.998;0.03;;1.08;0.176;0.086;0.003;0.013;;0.91;;;94.4;91.2;90.9;8.2;19.9;4.4584;3.4;;0.0142;;0.1733;;0.27;;0.3572;;53.72;21.218;723;0.8;2.597;0.074;0.047;0.012;0.015;0.8;0.2;;1.14;0.167;0.09;0.004;0.017;;1
CR;8315599026;93632.4;22334.8;3162.5;93632.4;22334.8;3170;93632.4;22334.8;3155;GM000969;0;15;15;1.991;0.293;1.624;0.041;0.963;0.021;PRG;QSE;SSE;SSE;2;2;-99;-99;2.312;0.19;2.306;0.012;1.08;0.005;;1.59;0.11;0.067;0.002;0.022;;1.12;;;82.2;86.2;86.8;4;33.3;7.8898;3.08;;0.0117;;0.196;;0.175;;0.361;;52.78;23.667;698;1.34;1.735;0.306;0.233;0.038;0.012;0.89;0.04;;1.67;0.316;0.125;0.007;0.032;;1.36
CR;8315599034;93594.9;22384.7;3162.5;93594.9;22384.7;3170;93594.9;22384.7;3155;GM000970;0;15;15;0.313;0.038;0.176;0.09;0.684;0.288;PRG;QSE;SSE;SSE;2;2;-99;-99;0.31;0.021;0.194;0.085;0.694;0.274;;1.18;0.147;0.061;0.002;0.013;;1.38;;;70.5;70.7;70.7;15.2;18.6;2.3109;3.96;;0.0241;;0.3651;;0.389;;0.3655;;50.01;21.588;728;0.89;3.071;0.091;0.009;0.036;0.052;0.49;0.57;;1.24;0.222;0.07;0.005;0.021;;1.38
CR;8315599042;93537.5;22372.8;3162.5;93537.5;22372.8;3170;93537.5;22372.8;3155;GM000971;0;15;15;1.927;0.324;1.348;0.215;0.868;0.112;AND;QSE;SSE;SSE;3;1;-99;-99;2.121;0.213;1.955;0.046;1.022;0.022;;1.59;0.105;0.128;0.001;0.028;;2.31;;;87.4;86.2;86;6.2;34.7;7.7969;2.94;;0.0133;;0.2779;;0.23;;0.4198;;57.06;15.065;698;1.23;1.707;0.298;0.24;0.037;0.039;0.93;0.13;;1.75;0.2;0.137;0.004;0.084;;2.98
CR;8315599044;93618.7;22367.3;3162.5;93618.7;22367.3;3170;93618.7;22367.3;3155;GM000972;0;15;15;0.994;0.202;0.752;0.022;0.96;0.022;PRG;QSE;SSE;SSE;2;2;-99;-99;0.937;0.087;0.862;0.022;1.013;0.023;;4.13;0.157;0.059;0.002;0.007;;3.53;;;100.7;95.8;95.6;5.6;20.1;4.8648;3.48;;0.012;;0.1584;;0.199;;0.3139;;56.6;22.124;723;0.83;2.653;0.041;0.012;0.013;0.015;0.61;0.37;;4.39;0.221;0.062;0.004;0.012;;3.79
CR;8315599054;94286.2;22548;3162.5;94286.2;22548;3170;94286.2;22548;3155;GM000973;0;15;15;0.811;0.116;0.629;0.022;0.919;0.027;PRG;QSE;SSE;SSE;2;2;-99;-99;0.944;0.054;0.88;0.023;0.989;0.024;;1.8;0.043;0.048;0.0005;0.006;;1.34;;;93.3;92;91.9;24.1;37.7;4.6724;3.43;;0.1449;;0.1564;;0.156;;0.4437;;53.61;21.609;722;0.89;2.54;0.077;0.023;0.034;0.018;0.74;0.23;;1.8;0.045;0.081;0.002;0.012;;1.41
CR;8315599056;94143.5;22481.8;3162.5;94143.5;22481.8;3170;94143.5;22481.8;3155;GM000974;0;15;15;0.695;0.106;0.539;0.014;0.928;0.02;PRG;QSE;SSE;SSE;2;2;-99;-99;0.732;0.064;0.669;0.013;1.001;0.018;;2.31;0.046;0.057;0.001;0.008;;1.82;;;96.1;92;91.7;26.4;37.2;3.9177;3.26;;0.0107;;0.1476;;0.216;;0.3191;;44.4;12.451;723;0.83;2.433;0.061;0.038;0.011;0.012;0.8;0.2;;2.24;0.072;0.064;0.002;0.011;;1.97
CR;8314099019;93572.9;22352.2;3147.5;93572.9;22352.2;3155;93572.9;22352.2;3140;GM000975;0;15;15;0.421;0.081;0.298;0.031;0.9;0.074;AND;QSE;SSE;SSE;3;1;-99;-99;0.42;0.045;0.33;0.032;0.893;0.076;;0.65;0.167;0.075;0.002;0.015;;1.1;;;95.4;91.3;91;15.5;21.7;3.0636;3.93;;0.0261;;0.3388;;0.338;;0.3922;;50.67;21.321;729;0.68;3.25;0.038;0.011;0.008;0.019;0.5;0.5;;0.61;0.036;0.033;0.002;0.014;;1.06
CR;8314099042;93537.5;22372.8;3147.5;93537.5;22372.8;3155;93537.5;22372.8;3140;GM000976;0;15;15;0.913;0.22;0.646;0.035;0.949;0.038;AND;QSE;SSE;SSE;3;1;-99;-99;0.886;0.116;0.777;0.036;1.008;0.041;;1;0.12;0.118;0.002;0.039;;2.41;;;90.6;86.2;85.4;12.4;24.8;4.4829;3.39;;0.0186;;0.3848;;0.332;;0.6989;;50.09;17.308;719;0.69;2.7;0.129;0.081;0.012;0.031;0.72;0.24;;1.14;0.127;0.1;0.004;0.08;;3.08
CR;8314099044;93618.7;22367.3;3147.5;93618.7;22367.3;3155;93618.7;22367.3;3140;GM000977;0;15;15;0.632;0.096;0.504;0.01;0.949;0.016;PRG;QSE;SSE;SSE;2;2;-99;-99;0.628;0.055;0.577;0.011;1.006;0.018;;1.59;0.176;0.07;0.002;0.017;;1.56;;;92.8;94.5;94.6;8.7;17.7;1.6586;3.79;;0.0695;;0.6607;;0.806;;0.3677;;46.53;21.979;717;0.89;3.073;0.034;0.006;0.01;0.02;0.47;0.59;;0.63;0.06;0.105;0.003;0.028;;1.01
PR;ZD-1100;93505.803;21354.697;3205.635;93505.884;21354.719;3208.634;93505.722;21354.675;3202.637;145701;39;45;6;0.51;0.296;;;;;AND;QSE;CUO;CUO;4;3;-99;-99;0.607;0.34;0.05;0.217;0.643;0.357;0.356;0.15;0.49;0.68;0.009;0.196;0.366;6.2;58.5;;55.1;;;10.5;15.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PR;ZD-1120;93322.421;20788.717;3092.155;93321.772;20788.056;3095.008;93323.071;20789.378;3089.302;145702;88;94;6;0.677;0.351;;;;;BXX;ARG;CUO;CUO;4;3;-99;-99;0.833;0.37;0.07;0.393;0.528;0.472;0.389;0.06;0.579;0.644;0.009;0.176;0.178;5.8;46.5;;42.6;;;10.3;15.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PR;ZD-1401;92963.797;21327.699;3041.295;92964.993;21327.81;3044.044;92962.601;21327.588;3038.545;145703;138;144;6;0.33;0.2;0.04;;0.727;;AND;BIO;LXX;CUO;4;3;-99;-99;0.34;0.19;0.06;0.09;0.735;0.265;0.201;0.22;0.915;0.395;0.019;0.241;0.498;5.01;73.9;;73.7;;;11.8;15.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
