TPH;TSPH;CuTC;CuSC;RS;HumC;CAA;CO3;FeSol                            ;Alsol                          ;TCur;TAgua;HumAglo;HumDin;Alt;p80;M100;M200;diasREfec;Diasreposo;RLix;CuTRip;RecRip;STock;UM100;UM200;UM300;UM430;UM440;UM445;UM450;UM455;UM460;UM470;UM480;UM800;BH;BI;DF;FM;GD;GR;PD;PT;SV;K;KSER;SER;CLO;ARC;ARCSER;CLOSER
95076;93237.1;0.6;0.5;75.8;1.9;30.5;0.3;0.4;0.4;17.7;36;7.3;4.2;6;16.7;12.9;5.9;66.1;1;1.8;0.1;81.2;17;0.4;0;5.3;5.8;17.6;60.4;0.4;7.8;2.3;0;0;0;0;0;0;0;72.7;0;0;27.3;0;94.8;5.2;0;0;0;0;0
70726;69728.4;0.6;0.5;74.6;1.4;29.6;0.3;0.3;0.3;17.8;34.5;6.6;4.9;6;16.1;14;5.9;72.6;0;2.2;0.1;84.8;7.1;0;0;3.2;0;3.6;64.2;2;19.9;7.1;0;0;0;0;0;0;0;100;0;0;0;0;91.2;8.8;0;0;0;0;0
69570;68359.1;0.7;0.5;72.8;1.7;33;0.3;0.4;0.4;17;35.5;7;4.5;6.1;16.9;10.7;5.9;73;0;2.3;0.1;82.2;43.7;0;0;0;0;2;36.8;19.1;4.3;37.8;0;0;0;0;0;0;0;100;0;0;0;0;99.3;0.7;0;0;0;0;0
84292;82960.1;0.7;0.6;75.8;1.6;30;0.3;0.3;0.3;16.7;36.5;6.9;4.6;6.1;17.1;8.6;5.9;72.5;0;2;0.1;82.9;18.4;0;0;0;0;0.6;50;28.2;1.3;20;0;0;0;0;0;0;0;100;0;0;0;0;99.8;0.2;0;0;0;0;0
76712;75395.7;0.7;0.5;68.1;1.7;32.1;0.2;0.3;0.3;16.5;31.2;6.5;5;6.1;18.2;7.8;5.9;72.1;1;2.2;0.1;76.6;0;0;0;0.7;0;21.5;46;17.9;2;11.8;0;0;0;0;0;0;0;84.8;0;0;15.2;0;99.8;0.2;0;0;0;0;0
77462;75807.2;0.4;0.3;64.7;2.1;32.1;0.2;0.3;0.3;17.9;33.2;7.2;4.3;5.7;20.3;5.4;5.9;75.1;0;2.2;0.2;64.8;0;0;0;1.5;0;42.7;36.7;4.1;4;11;0;0;0;0;0;0;0;69.7;0;0;30.3;0;99.6;0.4;0;0;0;0;0
79344;77757.1;0.4;0.3;61.7;2;21;0.2;0.4;0.3;17.6;36;7.4;4.1;5.9;20.3;5.3;5.9;78.8;0;2.2;0.2;66.4;8.8;0;0;0;0;28.6;59.9;1.7;0.1;9.7;0;0;0;0;0;0;0;43;0;0;57;0;100;0;0;0;0;0;0
74116;72633.7;0.5;0.3;62.5;2;31.7;0.3;0.3;0.3;17.9;40;7.8;3.7;5.7;17;9.2;5.9;56.1;3;1.6;0.1;72.2;15.5;0;0;0;0;40.6;50.6;3.4;0;5.4;0;0;0;0;0;0;0;57.1;0;0;42.9;0;100;0;0;0;0;0;0
75284;73778.3;0.5;0.3;63.4;2;31.7;0.3;0.3;0.3;17.9;42.5;8;3.5;5.8;17;9.2;5.9;2;3;2;0.1;74.9;21.9;0;0;0;0;54.6;39.4;5.5;0;0.6;0;0;0;0;0;0;0;74;0;0;26;0;100;0;0;0;0;0;0
76402;74874;0.4;0.3;60.5;2;31.7;0.3;0.3;0.3;17.3;42.1;7.9;3.6;5.7;17;9.2;5.9;78.3;2;2.3;0.1;73.1;12;0;0;0;0;57.5;35.6;1.9;0;5;0;0;0;0;0;0;0;73.3;0;0;26.7;0;100;0;0;0;0;0;0
77318;75771.6;0.6;0.4;68;2;31.7;0.3;0.3;0.3;17.3;42.6;8;3.5;5.8;17;9.2;5.9;80.1;2;2.3;0.1;75.8;4.7;0;0;0;0;39.9;50.1;7;0.1;2.9;0;0;0;0;0;0;0;86.9;0;0;13.1;0;100;0;0;0;0;0;0
81102;79480;0.7;0.5;72.4;2;31.7;0.3;0.3;0.3;17;40.6;7.8;3.7;5.8;17;9.2;5.9;84.8;1;2.3;0.1;82.6;18.5;0;0;0;0;30.3;58.6;10.9;0.2;0;0;0;0;0;0;0;0;93.3;0;0;6.7;0;100;0;0;0;0;0;0
81318;79691.6;0.6;0.4;70.9;2;31.7;0.3;0.3;0.3;16;39.7;7.6;3.9;6;17;9.2;5.9;86.5;1;2.5;0.2;68.2;60.6;0;0;0;0;47.7;44.4;1.6;2.9;3.4;0;0;0;0;0;0;0;69.6;0;0;30.4;0;100;0;0;0;0;0;0
89064;87282.7;0.8;0.6;78.6;2;31.7;0.3;0.3;0.3;14.4;40.1;7.5;4;6;17;9.2;5.9;79.3;0;1.9;0.1;82.5;8.8;0;0;0;0;0;84.4;9.4;3.5;2.7;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0
88634;86861.3;0.8;0.6;79.5;2;31.7;0.3;0.3;0.3;15;38.7;7.4;4.1;6.6;17;9.2;5.9;73.5;0;1.8;0.1;82.1;6.6;0;0;0;0;7.1;73.3;10.4;7.7;1.6;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0
97074;95134.1;0.8;0.6;80;2;33;0.2;0.3;0.3;16.6;35.8;7.2;4.3;7.3;17.2;9.3;5.9;74.3;0;1.7;0.2;79.1;9;0;0;0;0.4;10.3;63.1;14.9;9;2.3;0;0;0;0;0;0;0;96.2;0;0;3.8;0;100;0;0;0;0;0;0
102188;100510.1;0.8;0.7;84.8;1.6;28.9;0.2;0.3;0.3;16.8;36.5;7;4.5;7.1;18.5;5.7;5.9;77.1;0;1.7;0.1;83.4;7.7;0;0;0;1.1;5;58.4;25.2;4.2;6.1;0;0;0;0;0;0;0;90.6;0;0;9.4;0;100;0;0;0;0;0;0
88538;86861.5;0.8;0.7;82.5;1.9;28.3;0.2;0.3;0.3;16;33.9;6.9;4.6;7.3;17.6;6.9;5.9;70.6;0;1.5;0.2;75.4;2.9;0;0;0;0;1;47.7;37.1;1.4;12.8;0;0;0;0;0;0;0;99.8;0;0;0.2;0;100;0;0;0;0;0;0
102788;100645.6;0.8;0.7;80.5;2.1;31.8;0.1;0.3;0.3;16.7;32;7;4.5;7.2;17.4;8.3;5.9;68.1;0;1.4;0.2;74.8;0.6;0;0;0;0;6.7;62.3;12.8;6.6;11.6;0;0;0;26.3;0;0;0;73.7;0;0;0;0;74.8;25.2;0;0;0;0;0
78976;77601.7;0.8;0.6;78.4;1.7;28.7;0.1;0.3;0.3;16.6;32.9;6.7;4.8;6.9;16.5;9.6;5.9;74;0;2;0.2;80.8;5.5;0;0;0;0;12.2;69.3;10.8;2.7;5;0;0;0;41.5;0;0;0;47.5;0;0;10.9;0;51.7;48.3;0;0;0;0;0
99706;98289.5;0.8;0.6;76.3;1.4;30.4;0.1;0.3;0.3;15.4;34.2;6.4;5.1;6.9;15.8;11;5.9;75.3;3;1.7;0.2;76.5;19.7;0;0;0;0;10.8;50.2;35;0;4;0;0;0;42.3;0;0;0;48.6;0;0;9;0;46.6;53.4;0;0;0;0;0
95152;93599.7;1;0.8;79;1.6;33.7;0.1;0.3;0.3;16.7;27.6;6.1;5.4;7.2;18.4;6.8;5.9;78.1;2;1.8;0.2;81.2;12.5;0;0;0;0;3.9;52.5;37.2;2.8;3.6;0;0;0;15.2;0;0;0;84.8;0;0;0;0;79.4;20.6;0;0;0;0;0
97284;95435.1;0.8;0.5;65.4;1.9;36.2;0.1;0.4;0.4;17.5;26.3;6.3;5.2;7.5;19.4;5.9;5.9;75.6;2;1.8;0.2;77.2;0;0;0;0;0;13.4;52.7;26.3;7.6;0;0;0;0;0;0;0;0;100;0;0;0;0;99.9;0.1;0;0;0;0;0
