Sifon;Paño;Ciclo;Fecha_apil;Fecha_riego;Fecha_aporte;Vol_m3;Mineral_tms;H_(Bh)_%; Tcu_%;ASCu_%;CNCu_%;Ac. Correa_ton;Sal_Sól_ton;Sal_Salmu_ton ;P80_mm;Menos_-#100;H_(Bs)_%_I;RS_%_I;Tcu_%_I;ASCu_%_I;CNCu_%_I;Alt Paño_%_I;D. Acido_kg/t_I;Sal_Sól_kg/t_I;Sal_Salmu_kg/t_I;Sal_Total_kg/t_I;Reposo_dias;Reviente_dias;Menos_-100#_%_I;Ciclo_Max_dias;Reviente_dias_Calc;Ciclo_Max_dias_Calc;Dif_dias;HON_gpl_sup;CuON_gpl_sup;ClON_gpl_sup;T.riego_l/h/m2_sup;RLd_m3/t/d;RL_m3/t_sup;Rmax_%;;RCuT_%
;47;23;14-oct-21;29-oct-21;31-oct-21;77.09;127.725;5.62;0.811;0.162;0.588;2.354;1.886;9;16.8;;6;92.5;1.035.50;206.4;750.9;6.1;18.4;14.8;0.1;14.8;15;2;0;210;2;210;0;9;0.000078125;22;6;0.014;2.98;35.1;0;35.1
;48;23;17-oct-21;31-oct-21;06-nov-21;77.695;128.879;5.58;1,022;0.22;0.75;2.12;1.845;0;14.2;;5.9;94.9;1.317.20;282.9;966.8;6.2;16.5;14.3;0;14.3;14;6;0;210;6;210;0;9;0.000078125;22;6;0.014;2.96;35.4;0;35.4
;49;23;20-oct-21;03-nov-21;07-nov-21;77.848;128.714;5.21;0.746;0.175;0.507;2.239;1.492;259;15.1;;5.5;91.4;960.4;225.3;652.9;6.2;17.4;11.6;2;13.6;14;4;0;210;4;210;0;9;0.000078125;22;6;0.014;2.96;45.1;0;45.1
;50;23;22-oct-21;05-nov-21;08-nov-21;77.091;127.741;4.55;0.747;0.165;0.509;2.53;1.817;9;13.2;;4.8;90.2;954.2;210.3;650.5;6.1;19.8;14.2;0.1;14.3;14;3;0;210;3;210;0;9;0.000078125;22;6;0.014;2.98;35.8;0;35.8
;51;23;25-oct-21;09-nov-21;10-nov-21;77.05;127.74;4.56;0.726;0.136;0.53;2.508;2.068;100;14.9;;4.8;91.8;926.8;174.2;676.4;6.1;19.6;16.2;0.8;17;15;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.98;39.8;0;39.8
;52;23;28-oct-21;11-nov-21;12-nov-21;77.665;128.497;4.33;0.695;0.121;0.518;2;1.943;17;16.6;;4.5;92;892.8;155.9;665.8;6.2;15.6;15.1;0.1;15.3;14;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.97;33.8;0;33.8
;53;23;30-oct-21;13-nov-21;14-nov-21;78.318;125.421;5.11;0.665;0.117;0.489;2.539;1.973;132;15.8;;5.4;91;834.5;146.2;613.4;6.2;20.2;15.7;1.1;16.8;14;1;0;210;1;210;0;9;0.000078125;22;6;0.014;3.04;40.7;0;40.7
;54;23;03-nov-21;17-nov-21;18-nov-21;77.472;136.767;4.6;0.796;0.187;0.546;2.6;1.902;106;13.8;;4.8;92;1.089.30;255.3;746.5;6.1;19;13.9;0.8;14.7;14;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.79;40.4;0;40.4
;55;23;06-nov-21;20-nov-21;21-nov-21;77.848;136.568;4.82;0.901;0.272;0.528;2.215;2.085;125;14.8;;5.1;88.9;1.230.60;371.9;721.5;6.2;16.2;15.3;0.9;16.2;14;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.79;39.5;0;39.5
;56;23;08-nov-21;22-nov-21;23-nov-21;77.705;136.464;5.12;0.783;0.23;0.465;2.09;1.827;80;15.8;;5.4;88.8;1.068.50;314.2;635.1;6.2;15.3;13.4;0.6;14;14;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.79;36.9;0;36.9
;57;23;11-nov-21;26-nov-21;27-nov-21;76.136;136.216;4.84;0.951;0.183;0.698;1.647;2.053;95;15.1;;5.1;92.6;1.295.50;249;950.5;6;12.1;15.1;0.7;15.8;15;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.8;36.1;0;36.1
;58;23;13-nov-21;28-nov-21;29-nov-21;73.162;134.086;4.81;0.868;0.17;0.63;1.876;1.868;0;14.1;;5.1;92.1;1.164.10;227.4;844.4;5.8;14;13.9;0;13.9;15;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.84;33.1;0;33.1
;59;23;16-nov-21;30-nov-21;01-dic-21;70.844;134.022;4.59;0.74;0.132;0.541;1.951;2.017;0;16.7;;4.8;91;991.6;177.4;724.5;5.6;14.6;15.1;0;15.1;14;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.84;32.4;0;32.4
;60;23;18-nov-21;02-dic-21;04-dic-21;74.131;134.282;4.25;0.781;0.122;0.602;1.472;2.012;0;15.2;;4.4;92.6;1.048.10;163.2;807.8;5.9;11;15;0;15;14;2;0;210;2;210;0;9;0.000078125;22;6;0.014;2.84;31;0;31
;61;23;21-nov-21;08-dic-21;10-dic-21;73.674;134.351;4.06;0.942;0.167;0.717;1.984;1.98;0;16.1;;4.2;93.8;1.266.20;224.4;963.8;5.8;14.8;14.7;0;14.7;17;2;0;210;2;210;0;9;0.000078125;22;6;0.014;2.84;33.5;0;33.5
;62;23;23-nov-21;09-dic-21;12-dic-21;72.752;134.019;4.77;1,158;0.214;0.835;1.337;1.791;0;14.5;;5;90.6;1.552.10;287.1;1.119.20;5.8;10;13.4;0;13.4;16;3;0;210;3;210;0;9;0.000078125;22;6;0.014;2.84;30.6;0;30.6
;63;23;26-nov-21;11-dic-21;12-dic-21;75.941;134.208;5.02;0.807;0.175;0.511;2.125;1.972;0;15.3;;5.3;85;1.083.70;234.3;686.4;6;15.8;14.7;0;14.7;15;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.84;31.9;0;31.9
;64;23;29-nov-21;13-dic-21;14-dic-21;76.342;134.056;5.02;0.702;0.125;0.434;2.13;1.91;0;14.3;;5.3;79.6;941.2;167.7;581.3;6.1;15.9;14.2;0;14.2;14;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.84;30.1;0;30.1
;65;23;03-dic-21;17-dic-21;20-dic-21;76.033;137.056;4.91;0.711;0.15;0.475;1.609;1.972;37;14.9;;5.2;87.8;975;205.3;650.7;6;11.7;14.4;0.3;14.7;14;3;0;210;3;210;0;9;0.000078125;22;6;0.013;2.78;32.3;0;32.3
