Sifon;Paño;Ciclo;Fecha_apil;Fecha_riego;Fecha_aporte;Vol_m3;Mineral_tms;H_(Bh)_%; Tcu_%;ASCu_%;CNCu_%;Ac. Correa_ton;Sal_Sól_ton;Sal_Salmu_ton ;P80_mm;Menos_-#100;H_(Bs)_%_I;RS_%_I;Tcu_%_I;ASCu_%_I;CNCu_%_I;Alt Paño_%_I;D. Acido_kg/t_I;Sal_Sól_kg/t_I;Sal_Salmu_kg/t_I;Sal_Total_kg/t_I;Reposo_dias;Reviente_dias;Menos_-100#_%_I;Ciclo_Max_dias;Reviente_dias_Calc;Ciclo_Max_dias_Calc;Dif_dias;HON_gpl_sup;CuON_gpl_sup;ClON_gpl_sup;T.riego_l/h/m2_sup;RLd_m3/t/d;RL_m3/t_sup;Rmax_%;;RCuT_%
22022;84;23;29-ene-22;16-feb-22;18-feb-22;74.825;134.872;4.7;0.676;0.241;0.336;2.408;1.309;956;17.4;;4.9;85.4;912.3;325.2;453.7;5.9;17.9;9.7;7.1;16.8;18;2;0;210;2;210;0;9;0.000078125;22;6;0.013;2.83;59.6;0;59.6
22022;85;23;31-ene-22;18-feb-22;20-feb-22;75.101;134.913;5;0.942;0.445;0.372;1.741;1.448;339;15.7;;5.3;86.8;1.270.60;600.7;501.6;6;12.9;10.7;2.5;13.2;18;2;0;210;2;210;0;9;0.000078125;22;6;0.013;2.82;45.3;0;45.3
22022;86;23;08-feb-22;26-feb-22;28-feb-22;74.383;138.136;5.02;0.878;0.215;0.582;1.496;1.91;416;14.8;;5.3;90.9;1.212.20;297;804.4;5.9;10.8;13.8;3;16.8;18;2;0;210;2;210;0;9;0.000078125;22;6;0.013;2.76;44.8;0;44.8
32022;87;23;11-feb-22;01-mar-22;04-mar-22;76.737;137.641;6.54;0.778;0.141;0.551;2.255;1.051;981;15.2;;7;88.9;1.070.90;193.9;758.6;6.1;16.4;7.6;7.1;14.8;18;3;0;210;3;210;0;9;0.000078125;22;6;0.013;2.77;58.8;0;58.8
32022;88;23;14-feb-22;04-mar-22;07-mar-22;77.701;138.695;5.83;0.843;0.142;0.623;2.126;1.199;792;13.9;;6.2;90.8;1.168.60;197.6;864.1;6.2;15.3;8.6;5.7;14.4;18;3;0;210;3;210;0;9;0.000078125;22;6;0.013;2.75;55.6;0;55.6
32022;89;23;18-feb-22;08-mar-22;12-mar-22;77.96;138.311;5.01;1,047;0.17;0.795;1.68;1.63;428;16.2;;5.3;92.2;1.448.50;235.6;1.099.80;6.2;12.1;11.8;3.1;14.9;18;4;0;210;4;210;0;9;0.000078125;22;6;0.013;2.75;45.4;0;45.4
32022;90;23;21-feb-22;11-mar-22;14-mar-22;78.814;137.834;4.71;0.868;0.132;0.603;2.284;489;1.372;16;;4.9;84.8;1.195.90;182.4;831.8;6.3;16.6;3.5;10;13.5;18;3;0;210;3;210;0;9;0.000078125;22;6;0.013;2.76;62.2;0;62.2
32022;91;23;25-feb-22;15-mar-22;16-mar-22;77.195;138.018;4.73;0.631;0.108;0.416;2.155;682;1.328;15.5;;5;83.1;870.5;149.6;573.9;6.1;15.6;4.9;9.6;14.6;18;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.76;60;0;60
32022;92;23;28-feb-22;18-mar-22;19-mar-22;77.983;137.218;5.51;0.707;0.117;0.501;1.767;814;1.03;14.3;;5.8;87.5;969.8;161;687.4;6.2;12.9;5.9;7.5;13.4;18;1;0;210;1;210;0;9;0.000078125;22;6;0.013;2.78;56.1;0;56.1
32022;93;23;04-mar-22;22-mar-22;27-mar-22;79.903;136.768;4.31;0.722;0.125;0.507;1.599;1.844;102;13.5;;4.5;87.5;987.6;170.8;693.3;6.3;11.7;13.5;0.7;14.2;18;5;0;210;5;210;0;9;0.000078125;22;6;0.013;2.79;34.4;0;34.4
32022;94;23;08-mar-22;22-mar-22;29-mar-22;75.916;136.774;5.1;0.701;0.124;0.485;1.868;511;1.208;17;;5.4;86.8;959.4;169.2;663.6;6;13.7;3.7;8.8;12.6;14;7;0;210;7;210;0;9;0.000078125;22;6;0.013;2.79;58.6;0;58.6
32022;95;23;11-mar-22;25-mar-22;31-mar-22;73.088;136.606;5.24;0.647;0.136;0.416;2.297;583;1.174;15.9;;5.5;85.3;884.4;186.3;568.1;5.8;16.8;4.3;8.6;12.9;14;6;0;210;6;210;0;9;0.000078125;22;6;0.013;2.79;60.6;0;60.6
42022;96;23;15-mar-22;29-mar-22;02-abr-22;73.992;136.983;5.68;0.697;0.157;0.448;2.071;336;1.269;14.8;;6;86.8;954.8;215.4;613.6;5.9;15.1;2.5;9.3;11.7;14;4;0;210;4;210;0;9;0.000078125;22;6;0.013;2.78;62.2;0;62.2
42022;97;23;20-mar-22;03-abr-22;07-abr-22;75.235;136.628;4.97;0.654;0.208;0.342;2.167;0;1.13;17.5;;5.2;84;893.7;284.2;466.8;6;15.9;0;8.3;8.3;14;4;0;210;4;210;0;9;0.000078125;22;6;0.013;2.79;59.6;0;59.6
42022;98;23;22-mar-22;05-abr-22;11-abr-22;76.871;136.817;5.32;0.696;0.125;0.488;2.075;185;1.649;17.4;;5.6;87.9;952.8;170.5;667.1;6.1;15.2;1.3;12.1;13.4;14;6;0;210;6;210;0;9;0.000078125;22;6;0.013;2.78;66.5;0;66.5
42022;99;23;26-mar-22;09-abr-22;12-abr-22;77.476;136.903;6.33;0.712;0.154;0.463;2.075;126;1.668;15.1;;6.8;86.8;974.5;211.4;634;6.1;15.2;0.9;12.2;13.1;14;3;0;210;3;210;0;9;0.000078125;22;6;0.013;2.78;67.5;0;67.5
42022;100;23;31-mar-22;14-abr-22;18-abr-22;78.301;136.485;5.84;0.747;0.123;0.536;2.124;144;1.63;15.8;;6.2;88.2;1.019.00;167.5;730.9;6.2;15.6;1.1;11.9;13;14;4;0;210;4;210;0;9;0.000078125;22;6;0.013;2.79;67.1;0;67.1
42022;101;23;03-abr-22;17-abr-22;21-abr-22;77.483;129.843;5.57;0.816;0.168;0.54;1.769;16;1.425;15.8;;5.9;86.8;1.059.60;218.4;701.6;6.1;13.6;0.1;11;11.1;14;4;0;210;4;210;0;9;0.000078125;22;6;0.014;2.93;63.7;0;63.7
42022;102;23;06-abr-22;20-abr-22;25-abr-22;74.943;129.408;5.51;1,004;0.26;0.633;1.773;115;1.61;17.9;;5.8;89;1.298.90;336.7;819.8;5.9;13.7;0.9;12.4;13.3;14;5;0;210;5;210;0;9;0.000078125;22;6;0.014;2.94;68.2;0;68.2
42022;103;23;08-abr-22;22-abr-22;27-abr-22;70.06;114.868;5.82;1,039;0.312;0.655;2.022;41;1.409;14.4;;6.2;93.1;1.193.30;358.4;752.4;5.6;17.6;0.4;12.3;12.6;14;5;0;210;5;210;0;9;0.000078125;22;6;0.016;3.32;75.8;0;75.8
42022;104;23;10-abr-22;24-abr-22;29-abr-22;62.397;104.984;5.46;0.877;0.253;0.54;2.103;413;1.224;16.8;;5.8;90.5;920.3;265.8;566.9;5;20;3.9;11.7;15.6;14;5;0;210;5;210;0;9;0.000078125;22;6;0.017;3.63;73.7;0;73.7
42022;105;23;10-abr-22;24-abr-22;29-abr-22;28.916;51.541;5.85;0.836;0.237;0.508;788;467;116;12.5;;6.2;89;430.7;121.9;261.6;2.3;15.3;9.1;2.2;11.3;14;5;0;210;5;210;0;9;0.000078125;22;6;0.035;7.39;45.9;0;45.9
11900;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;9;0.000078125;22;6;0;0;0;0;
52022;2;24;28-abr-22;12-may-22;15-may-22;54.037;90.745;5.75;0.791;0.199;0.473;1.329;946;207;15.8;;6.1;85;717.5;180.8;428.9;4.3;14.7;10.4;2.3;12.7;14;3;0;170;3;170;0;9;0.3;22;7;0.023;3.97;38.2;0;38.2
52022;3;24;28-abr-22;12-may-22;15-may-22;89.955;151.238;5.61;0.788;0.213;0.473;2.351;1.392;779;15.8;;5.9;87;1.191.90;322.5;715;7.1;15.5;9.2;5.1;14.4;14;3;0;170;3;170;0;9;0.3;22;7;0.014;2.38;48;0;48
52022;4;24;28-abr-22;12-may-22;15-may-22;90.112;151.282;5.89;0.843;0.224;0.527;2.26;825;1.397;16.5;;6.3;89.1;1.275.50;339.4;797.3;7.2;14.9;5.5;9.2;14.7;14;3;0;170;3;170;0;9;0.3;22;7;0.014;2.38;57.5;0;57.5
52022;5;24;03-may-22;17-may-22;22-may-22;85.545;150.379;6.6;0.771;0.131;0.49;1.725;1.505;819;16.7;;7.1;80.5;1.160.10;196.6;736.8;6.8;11.5;10;5.4;15.5;14;5;0;170;5;170;0;9;0.3;22;7;0.014;2.39;41.8;0;41.8
52022;6;24;07-may-22;21-may-22;26-may-22;82.218;150.191;5.12;0.853;0.136;0.551;1.676;1.233;757;14.7;;5.4;80.5;1.281.50;204.1;827.3;6.5;11.2;8.2;5;13.3;14;5;0;170;5;170;0;9;0.3;22;7;0.014;2.4;41;0;41
52022;7;24;09-may-22;23-may-22;27-may-22;82.248;149.823;5.7;0.858;0.18;0.559;2.181;651;1.554;15.3;;6;86.2;1.286.00;270.4;837.8;6.5;14.6;4.3;10.4;14.7;14;4;0;170;4;170;0;9;0.3;22;7;0.014;2.4;57.4;0;57.4
62022;8;24;12-may-22;26-may-22;01-jun-22;82.706;149.57;5.96;0.798;0.192;0.501;2.434;468;1.846;17.4;;6.3;86.9;1.193.80;287.8;749.1;6.6;16.3;3.1;12.3;15.5;14;6;0;170;6;170;0;9;0.3;22;7;0.014;2.41;62.3;0;62.3
62022;9;24;15-may-22;29-may-22;02-jun-22;83.245;149.446;5.29;0.718;0.112;0.457;2.135;523;2.029;16.6;;5.6;79.3;1.072.70;167.9;682.7;6.6;14.3;3.5;13.6;17.1;14;4;0;210;4;210;0;9;0.3;22;7;0.014;2.97;57.9;0;57.9
62022;10;24;20-may-22;03-jun-22;06-jun-22;82.252;149.349;5.96;0.647;0.216;0.292;2.463;594;1.864;14.8;;6.3;78.5;966.6;323;436.1;6.5;16.5;4;12.5;16.5;14;3;0;210;3;210;0;9;0.3;22;7;0.014;2.98;60.5;0;60.5
62022;11;24;23-may-22;06-jun-22;10-jun-22;80.557;149.67;6.37;0.628;0.247;0.264;2.306;584;1.862;16.6;;6.8;81.4;939.4;370.2;394.5;6.4;15.4;3.9;12.4;16.3;14;4;0;210;4;210;0;9;0.3;22;7;0.014;2.97;61.4;0;61.4
62022;12;24;26-may-22;09-jun-22;12-jun-22;79.931;149.573;5.97;0.775;0.174;0.5;2.141;593;1.942;16.7;;6.3;87;1.159.60;260.8;748.4;6.3;14.3;4;13;16.9;14;3;0;210;3;210;0;9;0.3;22;7;0.014;2.97;62.5;0;62.5
62022;13;24;28-may-22;11-jun-22;14-jun-22;78.501;149.769;6;0.732;0.154;0.489;2.284;712;1.912;15.3;;6.4;87.9;1.096.80;230.6;733.1;6.2;15.3;4.8;12.8;17.5;14;3;0;210;3;210;0;9;0.3;22;7;0.014;2.97;63.6;0;63.6
62022;14;24;31-may-22;14-jun-22;18-jun-22;78.699;149.828;5.93;0.587;0.285;0.178;2.638;572;2.036;16;;6.3;78.9;879.6;426.3;267.3;6.2;17.6;3.8;13.6;17.4;14;4;0;210;4;210;0;9;0.3;22;7;0.014;2.97;64.4;0;64.4
62022;15;24;05-jun-22;18-jun-22;22-jun-22;79.445;147.725;6.12;0.655;0.24;0.319;2.145;756;1.403;14.8;;6.5;85.5;967;354.5;471.9;6.3;14.5;5.1;9.5;14.6;13;4;0;210;4;210;0;9;0.3;22;7;0.014;3.01;58.2;0;58.2
62022;16;24;08-jun-22;22-jun-22;25-jun-22;77.241;147.88;5.98;1,002;0.171;0.749;1.761;646;1.496;15.3;;6.4;91.9;1.481.90;253.1;1.108.20;6.1;11.9;4.4;10.1;14.5;14;3;0;210;3;210;0;9;0.3;22;7;0.014;3.01;58;0;58
62022;17;24;10-jun-22;24-jun-22;27-jun-22;77.508;147.778;5.99;0.914;0.158;0.694;2.248;690;1.955;15.3;;6.4;93.2;1.350.50;233.6;1.024.80;6.2;15.2;4.7;13.2;17.9;14;3;0;210;3;210;0;9;0.3;22;7;0.014;3.01;67;0;67
72022;18;24;13-jun-22;27-jun-22;01-jul-22;78.094;147.536;5.75;0.843;0.143;0.63;2.437;789;1.936;15.5;;6.1;91.8;1.244.00;211.7;930;6.2;16.5;5.3;13.1;18.5;14;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.01;67.3;0;67.3
72022;19;24;16-jun-22;30-jun-22;04-jul-22;77.997;147.995;4.8;1,135;0.164;0.883;2.517;602;2.067;14.8;;5;92.3;1.679.50;243.3;1.306.40;6.2;17;4.1;14;18;14;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.014;3;66.2;0;66.2
72022;20;24;19-jun-22;03-jul-22;07-jul-22;76.969;147.474;5.87;0.9;0.135;0.681;2.684;647;1.738;16.2;;6.2;90.7;1.327.70;199.5;1.004.60;6.1;18.2;4.4;11.8;16.2;14;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.01;65.2;0;65.2
72022;21;24;21-jun-22;05-jul-22;09-jul-22;76.597;147.971;6.28;0.789;0.124;0.589;2.923;562;1.898;16.5;;6.7;90.4;1.166.80;183.3;871.5;6.1;19.8;3.8;12.8;16.6;14;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.014;3;67.8;0;67.8
72022;22;24;25-jun-22;09-jul-22;12-jul-22;78.067;147.688;5.79;0.797;0.123;0.596;2.086;680;1.412;16.1;;6.1;90.2;1.177.20;181.1;880.6;6.2;14.1;4.6;9.6;14.2;14;3;0;210;3;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.01;57.7;0;57.7
72022;23;24;28-jun-22;12-jul-22;16-jul-22;78.993;147.087;5.99;0.791;0.167;0.542;2.48;545;1.858;15.6;;6.4;89.6;1.163.90;246;796.9;6.3;16.9;3.7;12.6;16.3;14;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.02;66.1;0;66.1
72022;24;24;30-jun-22;14-jul-22;18-jul-22;78.896;147.939;6.3;0.651;0.194;0.362;2.701;676;1.982;16.1;;6.7;85.4;963.4;287.4;535.6;6.3;18.3;4.6;13.4;18;14;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.014;3;66.8;0;66.8
72022;25;24;03-jul-22;17-jul-22;21-jul-22;77.194;140.132;5.95;0.683;0.134;0.455;2.382;597;1.722;14.4;;6.3;86.2;957.2;187.4;637.5;6.1;17;4.3;12.3;16.5;14;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.17;63.6;0;63.6
72022;26;24;07-jul-22;21-jul-22;23-jul-22;77.806;140.491;5.2;0.806;0.105;0.607;2.345;587;1.686;15;;5.5;88.3;1.132.30;147;852.7;6.2;16.7;4.2;12;16.2;14;2;0;210;2;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.16;62.9;0;62.9
72022;27;24;10-jul-22;24-jul-22;26-jul-22;79.657;140.06;6.01;0.702;0.105;0.513;2.451;544;1.851;14.3;;6.4;88;982.7;146.6;718.5;6.3;17.5;3.9;13.2;17.1;14;2;0;210;2;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.17;65.8;0;65.8
72022;28;24;13-jul-22;27-jul-22;30-jul-22;80.048;140.29;5.63;0.698;0.111;0.508;2.552;760;1.782;14.9;;6;88.7;979.5;156.2;712.2;6.4;18.2;5.4;12.7;18.1;14;3;0;210;3;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.17;65.8;0;65.8
82022;29;24;17-jul-22;31-jul-22;05-ago-22;77.877;140.213;6.33;0.66;0.126;0.445;2.489;1.039;1.265;14.9;;6.8;86.5;925.4;176.6;624;6.2;17.8;7.4;9;16.4;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.17;58.1;0;58.1
82022;30;24;21-jul-22;05-ago-22;07-ago-22;75.715;140.46;6.5;0.658;0.135;0.426;2.51;1.02;1.366;15.4;;7;85.4;923.8;189.7;599.1;6;17.9;7.3;9.7;17;15;2;0;210;2;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.16;59;0;59
82022;31;24;24-jul-22;07-ago-22;10-ago-22;78.076;140.119;5.05;0.597;0.108;0.373;2.621;894;1.51;14.1;;5.3;80.6;836.4;151.9;522.5;6.2;18.7;6.4;10.8;17.2;14;3;0;210;3;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.17;58.7;0;58.7
82022;32;24;27-jul-22;10-ago-22;15-ago-22;80.391;140.223;5.61;0.643;0.108;0.442;3.027;1.426;1.369;14.1;;5.9;85.5;901.8;151;620.2;6.4;21.6;10.2;9.8;19.9;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.17;61.2;0;61.2
82022;33;24;31-jul-22;14-ago-22;20-ago-22;79.64;140.617;4.83;0.888;0.128;0.691;3.093;2.532;563;14.7;;5.1;92.3;1.249.20;180.6;971.9;6.3;22;18;4;22;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.16;50.3;0;50.3
82022;34;24;05-ago-22;19-ago-22;26-ago-22;77.419;146.441;5.71;0.892;0.143;0.679;2.468;814;1.517;15;;6.1;92.3;1.305.60;210;994.8;6.1;16.9;5.6;10.4;15.9;14;7;0;210;7;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.04;62.9;0;62.9
82022;35;24;09-ago-22;23-ago-22;27-ago-22;77.784;146.146;6.51;0.828;0.148;0.608;2.481;49;1.357;16.6;;7;91.3;1.210.20;215.7;889.1;6.2;17;0.3;9.3;9.6;14;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.04;60.1;0;60.1
82022;36;24;12-ago-22;25-ago-22;30-ago-22;77.64;146.242;6.87;0.86;0.155;0.626;2.794;0;1.37;15.6;;7.4;90.8;1.257.60;227.2;915;6.2;19.1;0;9.4;9.4;13;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.04;61.9;0;61.9
92022;37;24;15-ago-22;29-ago-22;04-sept-22;77.286;146.049;6.04;0.722;0.132;0.508;2.845;0;1.208;14.6;;6.4;88.6;1.054.00;192.6;741.3;6.1;19.5;0;8.3;8.3;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.04;58.4;0;58.4
92022;38;24;17-ago-22;31-ago-22;06-sept-22;78.106;146.347;4.59;0.743;0.157;0.513;2.877;0;1.232;15.8;;4.8;90.2;1.087.90;229.8;751;6.2;19.7;0;8.4;8.4;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.04;59.7;0;59.7
92022;39;24;23-ago-22;06-sept-22;12-sept-22;79.332;146.371;5.04;0.795;0.131;0.591;2.637;0;1.056;15.5;;5.3;90.8;1.164.20;192.3;864.6;6.3;18;0;7.2;7.2;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.04;55.8;0;55.8
92022;40;24;26-ago-22;09-sept-22;15-sept-22;78.419;146.491;4.95;0.785;0.132;0.594;2.887;72;1.118;15.9;;5.2;92.5;1.149.60;193.2;869.8;6.2;19.7;0.5;7.6;8.1;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.03;58.5;0;58.5
92022;41;24;29-ago-22;13-sept-22;18-sept-22;76.692;146.35;4.91;0.722;0.126;0.53;2.898;168;949;15;;5.2;90.9;1.057.20;184.7;776.1;6.1;19.8;1.1;6.5;7.6;15;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.04;55.4;0;55.4
92022;42;24;31-ago-22;14-sept-22;20-sept-22;75.906;146.334;5.02;0.754;0.14;0.539;2.672;45;1.039;14.6;;5.3;90;1.103.00;205.1;788.1;6;18.3;0.3;7.1;7.4;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.04;55.9;0;55.9
92022;43;24;04-sept-22;18-sept-22;22-sept-22;75.564;139.1;5.76;0.745;0.146;0.515;2.47;0;1.116;14.8;;6.1;88.8;1.036.40;203.5;716.7;6;17.8;0;8;8;14;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.2;57.1;0;57.1
92022;44;24;08-sept-22;22-sept-22;25-sept-22;76.912;138.564;5.31;0.785;0.152;0.562;2.722;0;1.16;15.3;;5.6;90.9;1.087.10;210.2;778.2;6.1;19.6;0;8.4;8.4;14;3;0;210;3;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.21;60;0;60
92022;45;24;11-sept-22;25-sept-22;30-sept-22;76.129;136.411;5.54;0.628;0.117;0.41;2.901;0;1.219;13.9;;5.9;83.9;856.2;159.5;558.7;6;21.3;0;8.9;8.9;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.016;3.26;58.4;0;58.4
102022;46;24;15-sept-22;29-sept-22;04-oct-22;76.103;138.558;5.44;0.724;0.126;0.505;2.669;106;1.029;14.9;;5.8;87.2;1.002.80;174.3;700.3;6;19.3;0.8;7.4;8.2;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.21;55.3;0;55.3
102022;47;24;20-sept-22;04-oct-22;10-oct-22;79.55;140.231;5.58;0.767;0.116;0.493;2.061;470;862;14.8;;5.9;79.5;1.075.20;162.9;691.4;6.3;14.7;3.4;6.1;9.5;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.17;45.9;0;45.9
102022;48;24;23-sept-22;07-oct-22;12-oct-22;81.938;140.111;5.58;0.793;0.121;0.544;2.568;26;1.152;14.8;;5.9;83.9;1.110.90;169.2;762.6;6.5;18.3;0.2;8.2;8.4;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.17;54.5;0;54.5
102022;49;24;27-sept-22;12-oct-22;16-oct-22;78.143;140.368;5.81;0.887;0.137;0.654;2.857;0;1.37;14.8;;6.2;89.2;1.244.90;192.3;917.6;6.2;20.4;0;9.8;9.8;15;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.17;61.7;0;61.7
102022;50;24;30-sept-22;14-oct-22;21-oct-22;75.661;135.822;6.12;0.791;0.125;0.518;2.086;0;1.251;15.8;;6.5;81.3;1.074.50;169.6;703.8;6;15.4;0;9.2;9.2;14;7;0;210;7;210;0;9;0.3;#¿NOMBRE?;7;0.016;3.27;53;0;53
102022;51;24;03-oct-22;17-oct-22;23-oct-22;78.242;149.759;5.59;0.827;0.126;0.553;3.061;0;1.718;14.6;;5.9;82.2;1.238.10;189;828.7;6.2;20.4;0;11.5;11.5;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.014;2.97;60.9;0;60.9
102022;52;24;06-oct-22;20-oct-22;27-oct-22;77.853;147.867;5.15;0.813;0.137;0.593;3.01;0;1.655;14.7;;5.4;89.9;1.201.80;202.5;877.3;6.2;20.4;0;11.2;11.2;14;7;0;210;7;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.01;65;0;65
102022;53;24;09-oct-22;23-oct-22;28-oct-22;75.839;146.957;5.22;0.686;0.113;0.467;2.847;0;1.608;14.2;;5.5;84.4;1.008.70;165.9;685.7;6;19.4;0;10.9;10.9;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.02;60.7;0;60.7
102022;54;24;11-oct-22;25-oct-22;31-oct-22;75.054;147.843;5.89;0.647;0.103;0.42;3.046;0;1.661;14.9;;6.3;80.9;956.7;152.9;621.1;6;20.6;0;11.2;11.2;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.01;59.7;0;59.7
112022;55;24;20-oct-22;03-nov-22;09-nov-22;75.226;147.072;5.87;0.806;0.147;0.546;2.903;0;1.698;14;;6.2;86.1;1.184.80;216.5;803.5;6;19.7;0;11.5;11.5;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.014;3.02;63.6;0;63.6
112022;56;24;22-oct-22;05-nov-22;12-nov-22;76.162;140.135;5.99;1,019;0.282;0.64;2.952;0;1.588;14.6;;6.4;90.5;1.427.80;395.2;897;6;21.1;0;11.3;11.3;14;7;0;210;7;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.17;68.1;0;68.1
112022;57;24;27-oct-22;10-nov-22;17-nov-22;75.821;134.341;6.32;0.925;0.188;0.632;3.055;0;1.661;15.3;;6.7;88.7;1.242.10;252.9;848.9;6;22.7;0;12.4;12.4;14;7;0;210;7;210;0;9;0.3;#¿NOMBRE?;7;0.016;3.31;68.5;0;68.5
112022;58;24;30-oct-22;13-nov-22;18-nov-22;77.044;134.709;6.79;0.688;0.212;0.359;2.615;267;1.352;13.3;;7.3;83.1;926.2;285.8;483.6;6.1;19.4;2;10;12;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.016;3.3;60.8;0;60.8
112022;59;24;02-nov-22;17-nov-22;21-nov-22;78.759;142.166;5.84;0.792;0.164;0.52;2.907;1.376;403;14.8;;6.2;86.4;1.126.40;232.8;739.9;6.3;20.4;9.7;2.8;12.5;15;4;0;210;4;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.13;43.6;0;43.6
112022;60;24;05-nov-22;19-nov-22;24-nov-22;78.504;142.52;5.77;0.775;0.175;0.487;3.158;226;1.632;15.3;;6.1;85.4;1.104.00;249.8;693.5;6.2;22.2;1.6;11.5;13;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.12;64.7;0;64.7
112022;61;24;09-nov-22;23-nov-22;28-nov-22;77.817;142.427;6.16;0.656;0.187;0.352;2.857;0;1.593;14.3;;6.6;82.3;933.9;266.8;501.5;6.2;20.1;0;11.2;11.2;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.12;62.1;0;62.1
122022;62;24;12-nov-22;26-nov-22;01-dic-22;78.396;142.077;5.77;0.569;0.116;0.33;3.187;24;1.686;13.6;;6.1;78.6;807.8;165.3;469.2;6.2;22.4;0.2;11.9;12;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.13;61.4;0;61.4
122022;63;24;15-nov-22;29-nov-22;04-dic-22;76.77;142.041;5.31;0.672;0.11;0.401;2.948;87;1.764;12.7;;5.6;76;954.6;155.7;569.4;6.1;20.8;0.6;12.4;13;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.13;59.7;0;59.7
122022;64;24;18-nov-22;02-dic-22;08-dic-22;75.718;142.526;4.9;0.824;0.131;0.587;3.247;855;888;13.7;;5.2;87;1.174.80;186.1;836;6;22.8;6;6.2;12.2;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.12;54.5;0;54.5
122022;65;24;21-nov-22;05-dic-22;11-dic-22;78.172;141.786;6.53;0.829;0.151;0.592;2.759;0;1.755;13.5;;7;89.5;1.175.80;213.5;838.9;6.2;19.5;0;12.4;12.4;14;6;0;210;6;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.14;67;0;67
122022;66;24;27-nov-22;11-dic-22;16-dic-22;77.351;142.25;5.53;0.733;0.116;0.516;3.021;214;1.497;14.5;;5.9;86.2;1.042.40;165.2;733.6;6.1;21.2;1.5;10.5;12;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.12;62.1;0;62.1
122022;67;24;30-nov-22;14-dic-22;19-dic-22;77.888;141.286;6.04;0.788;0.128;0.575;3.129;300;1.504;14.7;;6.4;89.2;1.112.90;181;811.9;6.2;22.1;2.1;10.6;12.8;14;5;0;210;5;210;0;9;0.3;#¿NOMBRE?;7;0.015;3.15;64.6;0;64.6
