Fecha apil;Fecha riego;Fecha aporte;Mineral_tms;Tcu_%;ASCu_%;CNCu_%;Ac_correa;H(bs)_%;RS_%;Altura_p_m;Sal_sol_kg/ton;Sal_salmu_kg/ton;sal_total_kg/ton;p80_mm;%-100#;HON gpl;RL_m3/t;Rmax;
08-dic-21;22-dic-21;23-dic-21;137.056;0,781;0,134;0,571;2.399;6,7;90,2;6,1;13,8;3,8;17,6;15,1;0,0;9,0;2,78;45,5;
10-dic-21;25-dic-21;26-dic-21;136.870;0,701;0,111;0,501;2.587;5,8;87,3;6,0;14,8;4,8;19,6;14,7;0,0;9,0;2,78;47,8;
13-dic-21;27-dic-21;29-dic-21;136.137;0,774;0,120;0,578;2.723;5,6;90,2;5,8;13,3;4,5;17,9;14,9;0,0;9,0;2,80;48,8;
16-dic-21;03-ene-22;04-ene-22;136.844;1,023;0,198;0,752;1.604;5,0;92,8;5,8;8,2;4,9;13,1;16,6;0,0;9,0;2,78;46,2;
18-dic-21;05-ene-22;06-ene-22;137.016;0,988;0,186;0,708;2.596;5,2;90,5;5,8;15,3;3,9;19,1;16,0;0,0;9,0;2,78;46,8;
21-dic-21;08-ene-22;09-ene-22;137.101;0,747;0,161;0,485;2.590;4,5;86,5;5,8;13,8;1,8;15,6;16,9;0,0;9,0;2,78;38,0;
24-dic-21;11-ene-22;12-ene-22;137.555;0,900;0,152;0,667;2.591;5,8;91,0;5,9;14,3;0,3;14,6;16,2;0,0;9,0;2,77;32,1;
26-dic-21;14-ene-22;18-ene-22;137.260;0,895;0,238;0,595;2.434;7,2;93,1;6,1;15,9;0,0;15,9;17,3;0,0;9,0;2,78;31,6;
29-dic-21;16-ene-22;19-ene-22;137.327;0,902;0,293;0,548;1.929;5,6;93,2;6,4;13,5;3,9;17,4;16,7;0,0;9,0;2,77;46,4;
02-ene-22;20-ene-22;22-ene-22;137.214;0,887;0,180;0,637;1.916;5,1;92,1;6,4;12,0;3,6;15,6;15,0;0,0;9,0;2,78;44,2;
06-ene-22;24-ene-22;26-ene-22;137.000;0,910;0,131;0,677;2.199;5,6;88,7;6,3;10,0;2,3;12,3;15,9;0,0;9,0;2,78;38,8;
09-ene-22;27-ene-22;29-ene-22;136.670;1,090;0,185;0,816;2.412;4,8;91,8;6,2;8,9;6,4;15,3;16,7;0,0;9,0;2,79;53,2;
12-ene-22;30-ene-22;01-feb-22;136.229;0,877;0,144;0,646;2.328;4,9;90,2;6,1;7,2;8,2;15,4;15,2;0,0;9,0;2,80;56,3;
15-ene-22;02-feb-22;03-feb-22;135.448;0,918;0,133;0,707;2.863;4,7;91,5;6,0;8,2;7,4;15,6;16,7;0,0;9,0;2,81;56,8;
